epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,34.4953,1.45577,2.86625,1.94608,0.15264,0.67857,0.25291,0.10317,1.55517,25.993,2.10794,0.09208,8e-05,8e-05
2,68.5329,1.16951,1.40278,1.54884,0.32143,0.53869,0.39736,0.23834,1.45785,3.54798,2.21073,0.08317,0.000169982,0.000169982
3,101.926,1.13856,1.05168,1.52314,0.71371,0.35535,0.3651,0.18872,1.77259,6.75919,2.29485,0.0742599,0.000259887,0.000259887
4,133.415,1.12127,1.03454,1.52386,0.28794,0.55357,0.41244,0.2056,1.81262,10.0027,2.43532,0.0653497,0.000349658,0.000349658
5,168.818,1.03313,0.91818,1.43126,0.42967,0.63988,0.44316,0.22388,1.7183,8.7459,3.22078,0.0564392,0.000439236,0.000439236
6,204.699,1.10282,0.96261,1.46248,0.41397,0.48731,0.43849,0.24411,1.48639,3.80663,2.82383,0.0475286,0.000528563,0.000528563
7,236.557,1.09448,0.98654,1.52111,0.78249,0.66667,0.69148,0.43461,1.37375,3.39579,2.62503,0.0386176,0.00061758,0.00061758
8,265.664,1.21792,1.04633,1.51274,0.62856,0.57738,0.60202,0.34368,1.61253,4.55308,3.00311,0.0297062,0.00070623,0.00070623
9,293.78,1.06531,0.94394,1.41079,0.53713,0.46661,0.40443,0.25738,1.60539,5.6614,2.6847,0.0207945,0.000794454,0.000794454
10,329.008,1.10876,0.95137,1.48589,0.46954,0.53687,0.4696,0.34741,1.23099,4.04256,2.28268,0.0118822,0.000882197,0.000882197
11,365.504,1.11567,0.93581,1.44439,0.36765,0.52924,0.4074,0.2153,1.60475,21.8375,2.58378,0.0029694,0.000969399,0.000969399
12,403.744,1.12758,0.89956,1.47382,0.57615,0.21429,0.17082,0.09548,2.37063,12.9399,3.14652,0.000986922,0.000986922,0.000986922
13,443.439,1.06571,0.87623,1.42384,0.32035,0.21131,0.2333,0.11361,2.93213,4.00609,3.73053,0.000984449,0.000984449,0.000984449
14,477.607,1.05558,0.89535,1.43835,0.74448,0.10714,0.16534,0.07039,2.58965,4.71367,3.17334,0.000981765,0.000981765,0.000981765
15,510.438,1.16032,0.93949,1.50648,0.67596,0.32143,0.46644,0.31701,1.87686,5.79544,2.66104,0.000978873,0.000978873,0.000978873
16,544.794,1.02889,0.89073,1.40561,0.82781,0.4256,0.49953,0.32296,1.60692,3.98185,2.42394,0.000975773,0.000975773,0.000975773
17,575.948,1.02896,0.86749,1.416,0.55743,0.62798,0.59892,0.39082,1.28111,3.7644,2.04319,0.000972466,0.000972466,0.000972466
18,606.418,0.97576,0.76012,1.37349,0.60771,0.8244,0.80099,0.51374,1.07151,4.0529,1.65313,0.000968955,0.000968955,0.000968955
19,639.036,0.99866,0.76073,1.40534,0.88036,0.77905,0.81186,0.57522,1.02069,3.52586,1.51532,0.000965239,0.000965239,0.000965239
20,669.632,1.07039,0.85594,1.43012,0.69712,0.68134,0.78861,0.50911,1.27901,2.17106,1.89339,0.000961322,0.000961322,0.000961322
21,700.398,1.02589,0.82093,1.44418,0.80928,0.78383,0.8883,0.58633,1.14279,2.09164,1.65362,0.000957205,0.000957205,0.000957205
22,733.026,1.03768,0.84712,1.43937,0.87241,0.73796,0.86618,0.53875,1.30687,1.43641,1.81979,0.000952889,0.000952889,0.000952889
23,764.741,1.0348,0.80148,1.41883,0.85042,0.63163,0.8072,0.48947,1.40013,1.58044,1.99523,0.000948377,0.000948377,0.000948377
24,794.696,1.00096,0.73094,1.3846,0.81146,0.63393,0.74589,0.52626,1.23994,1.52984,1.93412,0.000943671,0.000943671,0.000943671
25,824.464,0.96853,0.76242,1.38062,0.79579,0.7689,0.85372,0.58802,1.10696,1.22422,1.69853,0.000938772,0.000938772,0.000938772
26,859.86,0.97427,0.85617,1.40739,0.85325,0.68906,0.80054,0.48143,1.28167,2.20975,1.83679,0.000933683,0.000933683,0.000933683
27,890.692,0.98435,0.80497,1.35825,0.76188,0.7225,0.81115,0.50554,1.2863,2.67795,1.92478,0.000928405,0.000928405,0.000928405
28,921.518,0.90948,0.69989,1.33163,0.88819,0.76362,0.87097,0.6336,0.86011,1.44653,1.38798,0.000922942,0.000922942,0.000922942
29,951.032,1.00212,0.79452,1.3902,0.91729,0.85714,0.85292,0.62555,1.07628,1.18331,1.66313,0.000917296,0.000917296,0.000917296
30,982.512,0.92624,0.76729,1.32897,0.86824,0.81136,0.86491,0.62562,1.04096,1.47259,1.50312,0.000911469,0.000911469,0.000911469
31,1013.69,0.88191,0.70689,1.30187,0.84376,0.96789,0.97379,0.68802,1.04883,0.99573,1.54232,0.000905463,0.000905463,0.000905463
32,1042.85,0.96533,0.70812,1.36056,0.93378,0.94345,0.95947,0.67793,1.1242,0.94094,1.66288,0.000899282,0.000899282,0.000899282
33,1075.99,0.9322,0.7333,1.32821,0.93667,0.83943,0.93823,0.71122,1.04222,1.62777,1.53598,0.000892928,0.000892928,0.000892928
34,1106.23,1.03995,0.77786,1.39394,0.90933,0.85714,0.91673,0.71463,0.92974,1.42275,1.41722,0.000886404,0.000886404,0.000886404
35,1136.03,0.93006,0.73284,1.29774,0.98403,0.89543,0.9749,0.7395,0.93559,0.67984,1.42356,0.000879713,0.000879713,0.000879713
36,1166.6,0.86436,0.66582,1.28365,0.90246,0.81328,0.95536,0.68929,0.9874,1.15149,1.48322,0.000872857,0.000872857,0.000872857
37,1205.12,0.88785,0.71389,1.27937,0.94871,0.96429,0.97108,0.73402,0.93604,0.94929,1.44727,0.000865839,0.000865839,0.000865839
38,1242.01,0.89533,0.65787,1.31066,0.93089,1,0.99267,0.72308,1.07363,0.94098,1.64586,0.000858664,0.000858664,0.000858664
39,1273.89,0.90572,0.70547,1.31991,0.97954,0.92857,0.98625,0.69054,1.06754,1.47111,1.64689,0.000851333,0.000851333,0.000851333
40,1305.43,0.89467,0.74563,1.30647,0.87632,0.90094,0.92325,0.72497,0.77638,1.55102,1.26822,0.000843851,0.000843851,0.000843851
41,1335.23,0.93383,0.73976,1.34231,0.82887,0.7528,0.82182,0.61342,0.90421,2.15155,1.39058,0.00083622,0.00083622,0.00083622
42,1366.23,0.94158,0.7831,1.37268,0.76449,0.62806,0.77404,0.55227,1.07771,2.57881,1.56401,0.000828443,0.000828443,0.000828443
43,1396.16,0.91757,0.68045,1.3242,0.82603,0.8869,0.89771,0.62692,0.91684,1.49422,1.42115,0.000820525,0.000820525,0.000820525
44,1426.4,0.86534,0.68097,1.28977,0.88462,0.86703,0.93571,0.6826,0.97287,0.86778,1.50342,0.000812468,0.000812468,0.000812468
45,1454.71,0.89505,0.71472,1.32397,0.89117,0.88885,0.93187,0.65569,0.85364,0.80061,1.33276,0.000804277,0.000804277,0.000804277
46,1485.27,0.85721,0.65888,1.30148,0.96305,0.91722,0.93321,0.72786,0.69345,0.87352,1.1898,0.000795954,0.000795954,0.000795954
47,1514.15,0.86326,0.74438,1.30293,0.84576,0.88854,0.9222,0.6953,0.74489,2.11376,1.25641,0.000787503,0.000787503,0.000787503
48,1555.88,0.79932,0.62604,1.25097,0.93497,0.83631,0.93201,0.73638,0.72359,1.68712,1.19562,0.000778929,0.000778929,0.000778929
49,1607.75,0.78465,0.65949,1.25796,0.86877,0.96429,0.98313,0.81684,0.73072,1.03597,1.21382,0.000770234,0.000770234,0.000770234
50,1711.95,0.83373,0.64951,1.25224,0.90702,0.97705,0.99267,0.79819,0.87227,0.73054,1.35113,0.000761423,0.000761423,0.000761423
51,1920.17,0.85807,0.68278,1.2769,0.98014,0.96429,0.99267,0.80553,0.80286,0.55481,1.28274,0.0007525,0.0007525,0.0007525
52,2023.25,0.77099,0.58084,1.255,0.99328,0.92601,0.98129,0.84311,0.65973,0.42264,1.11024,0.000743468,0.000743468,0.000743468
53,2094.65,0.79335,0.64179,1.24175,0.973,0.97149,0.991,0.81291,0.74691,0.44936,1.19413,0.000734332,0.000734332,0.000734332
54,2203.76,0.81521,0.62545,1.24984,0.99507,0.93519,0.99179,0.82996,0.67404,0.45851,1.15963,0.000725094,0.000725094,0.000725094
55,2287.72,0.83655,0.65129,1.27728,0.94181,0.88095,0.97484,0.7901,0.76648,0.49756,1.22573,0.000715761,0.000715761,0.000715761
56,2345.91,0.81877,0.62992,1.25888,0.96974,0.90774,0.96148,0.7955,0.63209,0.45341,1.11205,0.000706335,0.000706335,0.000706335
57,2396.88,0.82194,0.61544,1.28281,0.88603,0.75603,0.7901,0.65557,0.66017,0.57872,1.13914,0.00069682,0.00069682,0.00069682
58,2453.03,0.81468,0.6004,1.26343,0.82154,0.51917,0.62635,0.51117,0.88689,0.87097,1.38858,0.000687222,0.000687222,0.000687222
59,2513.68,0.82133,0.59815,1.26244,0.64495,0.1825,0.31315,0.26568,1.27731,2.40975,1.70603,0.000677543,0.000677543,0.000677543
60,2571.44,0.83864,0.63903,1.30796,0.47314,0.5119,0.53637,0.45118,0.9518,1.40833,1.41953,0.000667789,0.000667789,0.000667789
61,2624.64,0.79058,0.57718,1.20843,0.88902,0.8006,0.83046,0.66899,0.73689,0.75181,1.22577,0.000657963,0.000657963,0.000657963
62,2674.97,0.80312,0.60505,1.23503,0.91557,0.96429,0.95722,0.84081,0.5411,0.5261,1.05763,0.000648071,0.000648071,0.000648071
63,2729.67,0.84718,0.57626,1.27824,0.95512,0.95295,0.97723,0.80573,0.81603,0.46583,1.22947,0.000638115,0.000638115,0.000638115
64,2781.84,0.87003,0.63696,1.2934,0.96116,0.97706,0.9725,0.74848,1.02723,0.45603,1.49369,0.000628101,0.000628101,0.000628101
65,2839.16,0.7874,0.61055,1.24771,0.85633,0.83718,0.9113,0.72629,0.90262,0.5841,1.37602,0.000618034,0.000618034,0.000618034
66,2884.33,0.78074,0.635,1.2549,0.92291,0.90512,0.94324,0.74006,0.90354,0.49444,1.38568,0.000607916,0.000607916,0.000607916
67,2935.23,0.82082,0.62095,1.2756,0.99346,1,0.995,0.78662,0.84905,0.40362,1.32672,0.000597754,0.000597754,0.000597754
68,2980.52,0.74483,0.58305,1.20348,0.97964,0.99651,0.995,0.79875,0.71797,0.46717,1.19007,0.000587551,0.000587551,0.000587551
69,3030.66,0.79297,0.58396,1.26617,0.94955,0.88195,0.9795,0.75515,0.85387,0.60312,1.30025,0.000577311,0.000577311,0.000577311
70,3082.74,0.70462,0.51047,1.17159,0.95611,0.99035,0.99267,0.76792,0.8167,0.51053,1.27924,0.00056704,0.00056704,0.00056704
71,3136.51,0.74169,0.55234,1.21254,0.99173,0.94345,0.99187,0.82,0.62065,0.39006,1.11981,0.000556742,0.000556742,0.000556742
72,3190.23,0.76442,0.53838,1.23132,0.94571,0.97735,0.98417,0.85908,0.58853,0.41962,1.08699,0.000546421,0.000546421,0.000546421
73,3242.85,0.78916,0.58895,1.23819,0.95478,0.94345,0.98417,0.81699,0.7631,0.46847,1.21864,0.000536081,0.000536081,0.000536081
74,3295.85,0.79078,0.61904,1.24107,0.98177,0.94345,0.98187,0.80778,0.73294,0.51102,1.2186,0.000525728,0.000525728,0.000525728
75,3346.9,0.75831,0.63278,1.21502,0.96991,0.94345,0.98013,0.82775,0.5938,0.56822,1.10914,0.000515366,0.000515366,0.000515366
76,3392.79,0.72491,0.51683,1.19989,0.96013,0.93317,0.97874,0.83817,0.5709,0.50318,1.08219,0.000505,0.000505,0.000505
77,3447.03,0.75917,0.57604,1.24082,0.98804,0.94345,0.98642,0.82212,0.68035,0.4875,1.16461,0.000494634,0.000494634,0.000494634
78,3493.69,0.7588,0.5781,1.20878,0.99331,0.99675,0.995,0.81129,0.74523,0.43354,1.22964,0.000484272,0.000484272,0.000484272
